,minimized2hits_rmsd,reference2hits_rmsd,reference2minimized_rmsd,name,smiles,mode,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,rdock,n_inspirations,crystal_code,fraction_overlapping,rdock_free,rdock_free_top10,rdock_pharm,rdock_pharm_top10,old_RMSD,filtered_reference2minimized_rmsd,based_on_x0434,overlap_%
EDG-MED-0da5ad92-10,0.5568108408607003,0.6685350589161346,1.1613466752008204,EDG-MED-0da5ad92-10,Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,expansion,-8.182980495792549,-8.640881945306568,-0.4579014495140178,0.5568108408607003,16,4,51.839680910110474,['x0434'],[],4.056272,1,x10422,0.8,2.07362,2.07362,1.860414,1.650875,1.728463,,True,80.0
EDG-MED-0da5ad92-11,0.6267369364414381,1.2843139949015583,1.6464295612020576,EDG-MED-0da5ad92-11,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,expansion,-7.721295076118317,-7.535854653951415,0.18544042216690082,0.6267369364414381,16,4,80.6539957523346,['x0434'],[],5.895238,1,x10392,0.75,2.202649,1.347242,1.962701,1.909149,1.637489,,True,75.0
EDG-MED-0da5ad92-12,0.5193784747176188,0.4443365138045714,0.3531647396518139,EDG-MED-0da5ad92-12,Cc1cncc(NC(=O)Cc2cccc(Cl)c2)c1,expansion,-7.296340863195999,-7.035752681225241,0.2605881819707576,0.5193784747176188,16,2,64.86807227134705,['x0434'],[],2.7126,1,x10976,0.8333333333333334,7.66442,5.889998,2.54699,0.78075,0.469196,0.3531647396518139,True,83.33333333333334
EDG-MED-0da5ad92-15,0.567145428880459,1.2463239446468164,1.7743716728276897,EDG-MED-0da5ad92-15,Cc1ccnnc1NC(=O)Cc1cccc(Cl)c1,expansion,-5.370140033395193,-5.715261697022469,-0.34512166362727514,0.567145428880459,16,2,62.80833387374878,['x0434'],[],3.195417,1,x11485,0.8888888888888888,7.240019,2.091126,2.080157,2.07579,1.789248,1.7743716728276897,True,88.88888888888889
EDG-MED-0da5ad92-16,0.5265562647998786,0.4279398322194373,0.32978890554750634,EDG-MED-0da5ad92-16,Cc1cnncc1NC(=O)Cc1cccc(Cl)c1,expansion,-3.9159218968019913,-4.378178711022266,-0.46225681422027465,0.5265562647998786,16,2,39.34709715843201,['x0434'],[],5.321711,1,x11013,0.8888888888888888,2.339882,1.911892,2.131081,1.417341,1.772608,0.32978890554750634,True,88.88888888888889
EDG-MED-0da5ad92-18,0.7699108308758877,0.45793858758571576,0.8083371495659599,EDG-MED-0da5ad92-18,Cc1ccnc(N)c1NC(=O)Cc1cccc(Cl)c1,expansion,-5.342550338297855,-4.716219150135623,0.6263311881622323,0.7699108308758877,16,3,55.16720676422119,['x0434'],[],4.799308,1,x10494,0.7894736842105263,5.970614,2.093042,1.798457,1.798457,1.635465,,True,78.94736842105263
EDG-MED-0da5ad92-21,0.8243658547635266,0.60447306598392,0.7461391606522358,EDG-MED-0da5ad92-21,Cc1[nH]ncc1NC(=O)Cc1cccc(Cl)c1,expansion,-5.641175394515086,-5.448467956434041,0.19270743808104512,0.8243658547635266,16,1,29.537304162979126,['x0434'],[],5.399496,1,x11025,0.9411764705882353,2.647545,2.647545,2.335062,2.324661,1.765428,0.7461391606522358,True,94.11764705882352
BRU-LEF-c49414a7-1,0.5225380368930093,0.6687387382229326,0.8262178626256752,BRU-LEF-c49414a7-1,Cc1ccncc1NC(=O)Cc1cccc(OC2CC(=O)N2)c1,expansion,-9.60243364417892,-9.18607527437133,0.4163583698075903,0.5225380368930093,16,7,111.3246169090271,['x0434'],['x0107'],7.005073,1,x10756,0.6521739130434783,1.357303,1.357303,1.298909,1.298909,2.11268,,True,65.21739130434783
EDJ-MED-49816e9b-1,0.5824543973565656,0.669260366001155,0.6019064157602353,EDJ-MED-49816e9b-1,Cc1ccncc1CC(=O)Nc1cccc(Cl)c1,expansion,-8.393677148763775,0.4772649675877845,0.4772649675877845,0.5824543973565656,16,2,40.876922845840454,['x0434'],[],2.303678,1,x11011,0.8888888888888888,6.580948,6.514627,1.850665,0.690349,7.102938,0.5824543973565656,True,88.88888888888889
EDJ-MED-49816e9b-2,0.9930424413501068,1.3201822096463303,1.5790083163675532,EDJ-MED-49816e9b-2,Cc1ccnc(C)c1NC(=O)Cc1cccc(Cl)c1,expansion,-5.8540841075697845,-6.3134574283037885,-0.45937332073400416,0.9930424413501068,17,3,35.92593812942505,"['x0678', 'x0434']",[],4.092386,2,x10334,0.8421052631578947,6.765267,3.235617,2.299246,2.094268,0.848334,1.5790083163675532,True,84.21052631578947
RAL-MED-2de63afb-1,1.1316217467766239,6.779524442515616,5.354545231517204,RAL-MED-2de63afb-1,O=C(Cc1cccnc1)Nc1cccc(OC2CC(=O)N2)c1,expansion,-3.2185274162069315,-2.7747445204184746,0.4437828957884567,1.1316217467766239,9,13,760.6349520683289,['x1493'],[],12.039486,1,x10371,0.0,7.609347,4.328985,,,10.678393,,False,0.0
RAL-MED-2de63afb-2,3.9641541762819137,6.551963870135087,11.386391089519027,RAL-MED-2de63afb-2,Cc1cc(NC(=O)Cc2cncnc2)cc(OC2CC(=O)N2)c1,expansion,-4.1521096148505015,-3.5104289475175654,0.6416806673329359,3.9641541762819137,9,14,242.03616404533386,['x1493'],[],11.794519,1,x10322,0.0,7.448083,4.117076,,,13.231786,,False,0.0
RAL-MED-2de63afb-14,4.498946691541625,6.685857162697989,8.424750882654195,RAL-MED-2de63afb-14,O=C(Cc1cncnc1)Nc1cc(F)cc(OC2CC(=O)N2)c1,expansion,93.67760184935842,94.36157660777148,0.6839747584130556,4.498946691541625,9,14,364.51133394241333,['x1493'],[],11.755866,1,x10387,0.0,8.03292,5.838656,,,10.774647,,False,0.0
NAU-LAT-445f63e5-6,0.4779315458305716,2.5789503557649187,3.4167870618589857,NAU-LAT-445f63e5-6,O=C(Nc1cccnc1)NC1(Cc2ccccc2)CCOCC1,expansion,-8.275405932165553,-6.953257323898192,1.3221486082673617,0.4779315458305716,16,7,80.9280788898468,['x0434'],[],5.745815,1,x10800,0.6086956521739131,1.638671,1.599075,1.662107,1.662107,3.221467,,True,60.86956521739131
MIC-UNK-deda7a44-5,1.155001325756815,2.077137257742011,2.8341023522196838,MIC-UNK-deda7a44-5,O=C(Nc1nncn1C1CC1)C1COc2ccc(Cl)cc21,expansion,-2.961149175685909,-2.123061971740636,0.8380872039452734,1.155001325756815,16,5,56.55030131340027,['x0434'],[],6.514597,1,x11186,0.7619047619047619,5.870192,4.506283,2.062222,1.828576,2.513403,,True,76.19047619047619
